model,image,recall,gt_count,pred_count
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00100.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00120.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00150.jpg,1.0,13,13
../../runs/detect/train2/weights/best.pt,game_20251123_YuV80UEe_00160.jpg,1.0,13,13
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00020.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00030.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00060.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00070.jpg,1.0,3,4
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00080.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00110.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00120.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00150.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00170.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00180.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00190.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00200.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00210.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00220.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00230.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00320.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00330.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00360.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00370.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00510.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00520.jpg,1.0,10,11
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00600.jpg,1.0,11,12
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00620.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00630.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00660.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00680.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00800.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00810.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00820.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00830.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00850.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00870.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00880.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00970.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_00980.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01010.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01030.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01080.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01180.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01190.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01230.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01250.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01270.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01280.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01290.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01320.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01330.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01340.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251123_ZdfVZjWd_01360.jpg,1.0,5,5
